rowNumber,date,time_of_day,headspace_package,day_within_headspace_package,clarity_pre_meditation,calm_pre_meditation,tiredness_pre_meditation,hours_awake_today,hours_slept_last_night,hours_since_meal,meditation_minutes_earlier_today,mood_bad_proportion_since_last_entry,mood_low_proportion_since_last_entry,mood_mildlypleasant_proportion_since_last_entry,mood_verygood_proportion_since_last_entry,stroop_congruent_pre_meditation,stroop_incongruent_pre_meditation,stroop_mistake_pre_meditation,meditation_randomised_walking,meditation_randomised_sitting,meditation_randomised_standing,stroop_congruent_post_meditation,stroop_incongruent_post_meditation,stroop_mistake_post_meditation,clarity_post_meditation,calm_post_meditation,tiredness_post_meditation,self_regulation_failure_severity,hrs_since_coffee,out_of_home,hangover,re_anchor,data_point_quality_compromised
14,16.7.2014,NA,1,11,7,7,3,2,NA,14,NA,NA,NA,NA,NA,14.774,14.530499999999998,NA,0,1,0,11.386,13.269,NA,8,7.75,1.5,NA,NA,NA,0,NA,NA
15,16.7.2014,NA,1,12,8,7.5,1.5,12,NA,25,NA,NA,NA,NA,NA,13.998,12.405,NA,0,1,0,13.316,14.266499999999999,NA,7.25,7,6,NA,NA,NA,0,NA,NA
16,17.7.2014,NA,1,13,6.75,6,1.5,1.75,NA,37,NA,NA,NA,NA,NA,14.138,12.985499999999998,NA,0,1,0,12.66,12.864,NA,7.75,6.75,3,NA,NA,NA,0,NA,NA
17,19.7.2014,NA,1,14,4,4,7.25,6.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,5,5.5,6.5,NA,NA,NA,0,NA,NA
18,20.7.2014,NA,0,NA,4,4,6.5,3.5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,6.75,5.75,4,NA,NA,NA,0,NA,NA
19,21.7.2014,NA,1,15,4.75,4.25,5,2,NA,13.5,NA,NA,NA,NA,NA,11.584,11.8995,NA,0,1,0,10.728,12.442499999999999,NA,5.25,6.5,6,NA,NA,0,0,NA,NA
20,21.7.2014,NA,1,16,3.5,6.25,7,10,NA,21.5,NA,NA,NA,NA,NA,11.102,14.154,NA,0,1,0,9.448,14.3655,NA,5,4.75,6,NA,NA,1,0,NA,NA
21,22.7.2014,NA,1,17,3.75,5.25,6.75,13.5,NA,0.25,NA,NA,NA,NA,NA,11.828,15.171000000000001,NA,0,1,0,17.154,14.026500000000002,NA,4.75,6,5.5,NA,NA,0,0,NA,1
22,23.7.2014,NA,1,18,4.5,6,7.25,12.5,NA,0.75,NA,NA,NA,NA,NA,11.6,12.938999999999998,NA,0,1,0,10.048,12.708,NA,4.25,6,6.25,NA,NA,0,0,NA,NA
23,24.7.2014,NA,1,19,5,4,6,2.5,NA,1.75,NA,NA,NA,NA,NA,13.078,13.3305,NA,0,1,0,10.48,12.815999999999999,NA,6,4.75,5.5,NA,NA,0,0,NA,NA
24,25.7.2014,NA,1,20,3.75,5,8.25,7,NA,0.25,NA,NA,NA,NA,NA,15.848,12.517500000000002,NA,0,1,0,10.958,12.399,NA,4.5,4.75,7.5,NA,NA,1,0,NA,NA
25,26.7.2014,NA,1,21,4.75,4,6.25,6.25,NA,0.25,NA,NA,NA,NA,NA,12.31,13.750499999999999,NA,0,1,0,11.644,12.9285,NA,6,5.25,6.25,NA,NA,0,0,NA,NA
26,27.7.2014,NA,1,22,3,3.5,8.75,8.5,NA,1,NA,NA,NA,NA,NA,15.856,12.851999999999999,NA,0,1,0,13.98,11.541,NA,4.5,3.75,7.5,NA,NA,0,0,NA,NA
27,28.7.2014,NA,1,23,5.5,6.25,7,13,NA,1,NA,NA,NA,NA,NA,9.892,12.307500000000001,NA,0,1,0,15.68,16.261499999999998,NA,6,6.25,6,NA,NA,0,0,NA,NA
28,29.7.2014,NA,1,24,4.25,6,8.25,12.5,NA,2.5,NA,NA,NA,NA,NA,12.036,11.7855,NA,0,1,0,10.656,13.4565,NA,4.5,5.5,7.25,NA,NA,0,0,NA,NA
29,30.7.2014,NA,1,25,4,4,9,13,NA,1.25,NA,NA,NA,NA,NA,15.734,12.3975,NA,0,1,0,10.566,13.021499999999998,NA,5.5,3.75,7,NA,NA,0,0,NA,NA
30,31.7.2014,NA,1,26,3.75,6.5,8.5,12.75,NA,0.75,NA,NA,NA,NA,NA,11.14,10.733999999999998,NA,0,1,0,12.958,12.309,NA,5.25,5.75,6.5,NA,NA,0,0,NA,NA
31,1.8.2014,NA,1,27,5,5.25,6.75,12.25,NA,2.75,NA,NA,NA,NA,NA,10.012,11.0925,NA,0,1,0,10.066,11.935500000000001,NA,6,6.25,7.5,NA,NA,1,0,NA,NA
32,2.8.2014,NA,1,28,4.5,4,5.5,1.5,NA,0.5,NA,NA,NA,NA,NA,13.406,12.2835,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
33,4.8.2014,NA,1,29,4.75,5.25,7.75,11,NA,2,NA,NA,NA,NA,NA,14.658,11.758500000000002,NA,0,1,0,15.052,13.0965,NA,4.75,6,7.25,NA,NA,0,0,NA,NA
34,5.8.2014,NA,1,30,5.25,3.75,4,0.75,NA,13,NA,NA,NA,NA,NA,10.745,11.3115,NA,0,1,0,9.78,13.342499999999998,NA,5.75,5,3.75,NA,NA,0,0,NA,NA
35,5.8.2014,NA,2,1,7.25,6,5,11,NA,23,NA,NA,NA,NA,NA,10.85,11.190000000000001,NA,0,1,0,12.708,12.525,NA,6,6.5,5.5,NA,NA,0,0,NA,NA
36,6.8.2014,NA,2,2,4.75,5.75,6.5,3.75,NA,2.75,NA,NA,NA,NA,NA,10.046,12.010499999999999,NA,0,1,0,9.736,10.5405,NA,5,6.25,6,NA,NA,0,0,NA,NA
37,7.8.2014,NA,2,3,3.5,4,8.25,2.5,NA,0.5,NA,NA,NA,NA,NA,14.428,12.243,NA,0,1,0,12.078,11.9205,NA,4.75,5.75,6.5,NA,NA,0,0,NA,NA
38,8.8.2014,NA,2,4,6.25,6,6,4,NA,3,NA,NA,NA,NA,NA,9.99,11.3445,NA,0,1,0,11.738,11.5455,NA,6.75,6.25,4,NA,NA,0,0,NA,NA
39,9.8.2014,NA,2,5,6,4,3,5.5,NA,2.5,NA,NA,NA,NA,NA,10.4,10.092,at least one,0,1,0,11.03,11.238,NA,7,4,3.5,NA,NA,0,0,NA,NA
40,10.8.2014,NA,2,6,5.75,5,2.25,9.25,NA,0,NA,NA,NA,NA,NA,11.794,11.3025,NA,0,1,0,10.124,12.2175,NA,6,4,4.25,NA,NA,0,0,NA,NA
41,11.8.2014,NA,2,7,3.75,5,7,13.5,NA,12,NA,NA,NA,NA,NA,12.45,11.675999999999998,NA,0,1,0,10.664,10.5795,NA,4.5,4.75,7.25,NA,NA,0,0,NA,NA
42,12.8.2014,NA,2,8,3,7,6.5,13,NA,0,NA,NA,NA,NA,NA,10.144,9.8295,NA,0,1,0,11.342,12.7965,NA,5,6,6.75,NA,NA,0,0,NA,NA
43,14.8.2014,14:15,2,9,6,6,5,5,NA,0,NA,NA,NA,NA,NA,12.316,10.193999999999999,NA,0,1,0,12.652,11.5875,NA,5.75,4.75,6.5,NA,NA,0,0,NA,NA
44,14.8.2014,NA,2,10,3.75,4,7.5,13,NA,1,NA,NA,NA,NA,NA,12.634,11.5965,NA,0,1,0,9.616,11.878499999999999,NA,3.75,6.25,7.5,NA,NA,0,0,NA,NA
45,15.8.2014,NA,NA,NA,4.75,5.5,7.5,10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,5,4,7,NA,NA,1,0,NA,NA
46,17.8.2014,NA,2,11,6.75,5.75,4,12.5,NA,0.5,NA,NA,NA,NA,NA,9.662,11.2215,NA,0,1,0,10.072,11.3385,NA,5.5,5,6,NA,NA,0,0,NA,NA
47,19.8.2014,NA,2,12,7,5,6,1,NA,11.5,NA,NA,NA,NA,NA,13.694,12.546000000000001,NA,0,1,0,10.264,11.0355,NA,8,4.5,4.25,NA,NA,0,0,NA,1
48,21.8.2014,NA,2,13,6,5.75,7,12.5,NA,1,NA,NA,NA,NA,NA,10.088,9.616499999999998,NA,0,1,0,12.388,11.224499999999999,NA,7.25,6.75,5,NA,NA,0,0,NA,NA
49,22.8.2014,NA,99,NA,6.75,6.25,7.25,13,NA,1,NA,NA,NA,NA,NA,11.952,10.258500000000002,NA,1,0,0,10.896,11.3355,NA,6,7.25,7,NA,NA,0,0,NA,NA
50,24.8.2014,22:15,2,14,6,4,6.5,11,NA,1,NA,NA,NA,NA,NA,9.448,10.5795,NA,0,1,0,12.798,12.3315,NA,6,4.5,3.5,NA,NA,0,0,NA,NA
51,25.8.2014,14:55,2,15,7.75,7,5.5,4.5,NA,3,NA,NA,NA,NA,NA,10.124,12.354000000000001,NA,1,0,0,10.514,12.382500000000002,NA,8,6,2,NA,NA,0,0,NA,NA
52,25.8.2014,NA,NA,NA,7,7,8,9,NA,0.5,NA,NA,NA,NA,NA,10.882,12.0885,NA,0,0,0,9.862,10.9245,NA,5,6,7,NA,NA,0,0,NA,NA
53,26.8.2014,NA,2,16,6,5,7,17,NA,4,NA,NA,NA,NA,NA,10.973,11.374500000000001,NA,0,1,0,15.092,12.8055,NA,6,4.5,6.5,NA,NA,0,0,NA,NA
54,27.8.2014,NA,2,17,5.5,6,5,2.5,NA,16,NA,NA,NA,NA,NA,11.5,11.808,NA,1,0,0,11.176,11.5875,NA,6.5,7,6.75,NA,NA,0,0,NA,NA
55,27.8.2014,NA,2,18,3.75,6,6.5,12.25,NA,24.75,NA,NA,NA,NA,NA,10.475,10.764,NA,1,0,0,16.658,13.503,NA,5,5,6,NA,NA,0,0,NA,NA
56,28.8.2014,NA,2,19,4,3.5,6,3,NA,2,NA,NA,NA,NA,NA,10.496,11.3295,NA,1,0,0,11.934,10.6605,NA,6,6,5.5,NA,NA,0,0,NA,NA
57,29.8.2014,NA,2,20,4,3.75,5.5,5,NA,1,NA,NA,NA,NA,NA,9.692,11.2515,NA,1,0,0,13.002,11.1555,NA,4,4.25,6,NA,NA,0,0,NA,NA
58,30.8.2014,NA,2,21,6,7,9.25,7.25,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,7.25,7,7,NA,NA,1,0,NA,NA
59,31.8.2014,NA,2,22,5,7,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
60,2.9.2014,NA,2,23,4,3.5,5,3.5,NA,2.5,NA,NA,NA,NA,NA,10.662,10.491,NA,1,0,0,9.412,14.1915,NA,5.5,5,5,NA,NA,0,0,NA,NA
61,3.9.2014,NA,99,NA,6,5.25,8.5,8.5,NA,4,NA,NA,NA,NA,NA,9.072,9.0795,NA,0,0,0,11.272,13.446000000000002,NA,3,3,6,NA,NA,1,0,NA,NA
62,3.9.2014,NA,2,24,5,3,7.75,16.5,NA,1,NA,NA,NA,NA,NA,11.01,11.0655,NA,0,1,0,10.604,14.614500000000001,NA,4.5,5.25,7,NA,NA,0,0,NA,NA
63,4.9.2014,NA,2,25,6.75,5.5,6.5,12,NA,1,NA,NA,NA,NA,NA,12.744,9.616499999999998,NA,1,0,0,11.746,12.2355,NA,6,5,7,NA,NA,0,0,NA,NA
64,5.9.2014,NA,2,26,5.5,4.25,5.75,7.25,NA,4,NA,NA,NA,NA,NA,7.022,10.8615,NA,0,1,0,13.464,10.8435,NA,8,4.75,6,NA,NA,1,0,NA,NA
65,7.9.2014,NA,2,27,5,6.25,3.5,3.5,NA,0.5,NA,NA,NA,NA,NA,10.904,14.7075,NA,1,0,0,11.914,12.833999999999998,NA,5,7,6.25,NA,NA,0,0,NA,NA
66,7.9.2014,NA,2,28,4,4.25,5.5,12.25,NA,4.25,NA,NA,NA,NA,NA,12.816,11.878499999999999,NA,1,0,0,NA,NA,NA,3.75,3.5,7,NA,NA,NA,0,NA,NA
67,8.9.2014,NA,2,29,3,2.5,8.5,13.25,NA,22.5,NA,NA,NA,NA,NA,10.284,11.3595,NA,1,0,0,10.582,13.0095,NA,3.75,6,6.5,NA,NA,0,0,NA,NA
68,9.9.2014,NA,2,30,4,3.25,3.5,0.5,NA,11,NA,NA,NA,NA,NA,10.162,13.647,NA,0,1,0,NA,NA,NA,4.75,4.5,6,NA,NA,NA,0,NA,NA
69,9.9.2014,NA,992,NA,5,4,8,12,NA,0,NA,NA,NA,NA,NA,10.554,11.5815,NA,0,0,0,13.978,12.227999999999998,NA,3,5,5,NA,NA,1,0,NA,NA
70,10.9.2014,NA,3,1,6.25,4,5,5,NA,3,NA,NA,NA,NA,NA,13.922,10.1115,NA,0,0,1,9.534,12.1215,NA,4,3.5,6,NA,NA,0,0,NA,NA
71,11.9.2014,NA,3,2,3.25,3,7.25,6.75,NA,0.5,NA,NA,NA,NA,NA,9.344,9.786,NA,0,1,0,9.94,9.987,NA,5,6,6.5,NA,NA,1,0,NA,NA
72,12.9.2014,NA,3,3,5,3,5,2.5,NA,1.5,NA,NA,NA,NA,NA,10.028,12.2115,NA,0,0,1,10.39,9.6465,NA,6.5,5,3.75,NA,NA,0,0,NA,NA
73,13.9.2014,NA,3,4,4,5.5,7,2.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,6,5,5,NA,NA,1,0,NA,NA
74,13.9.2014,NA,3,5,4,3.5,7,4.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,6,5,6.5,NA,NA,1,0,NA,NA
75,15.9.2014,NA,3,6,5,4.5,8,14.5,NA,0.5,NA,NA,NA,NA,NA,10.608,14.800500000000003,NA,0,0,1,11.814,12.3285,NA,4.25,4,8.5,NA,NA,0,0,NA,NA
76,16.9.2014,NA,3,7,4,6,8,12,NA,0.5,NA,NA,NA,NA,NA,9.218,13.302000000000001,NA,0,0,1,12.638,12.070500000000001,NA,4,4.75,7.5,NA,NA,0,0,NA,NA
77,17.9.2014,NA,3,8,6,4,7.5,15.25,NA,1,NA,NA,NA,NA,NA,11.238,12.606,NA,0,1,0,14.024,9.834,NA,5.75,3,7,NA,NA,0,0,NA,NA
78,18.9.2014,NA,3,9,3.25,4,7.75,8.75,NA,NA,NA,NA,NA,NA,NA,10.482,11.364,NA,0,1,0,11.742,11.163,NA,5,6,7.5,NA,NA,1,0,NA,NA
79,19.9.2014,NA,99,NA,4,4,8,4.5,NA,0,NA,NA,NA,NA,NA,9.892,11.7645,NA,0,0,0,11.308,10.6155,NA,6,4.5,5,NA,NA,0,0,NA,NA
80,19.9.2014,NA,3,10,4,6,7.75,11.5,NA,6,NA,NA,NA,NA,NA,13.426,9.017999999999999,at least one,0,0,1,10.972,10.2675,NA,5,5,7,NA,NA,1,0,NA,NA
81,20.8.2014,NA,3,11,5,4,7,6,NA,5.5,NA,NA,NA,NA,NA,9.242,11.5455,NA,0,1,0,8.918,10.993500000000001,NA,5,5.5,6,NA,NA,1,0,NA,NA
82,21.9.2014,NA,3,12,4,3.5,5.5,9.75,NA,0.5,NA,NA,NA,NA,NA,11.806,10.7115,NA,0,0,1,10.194,10.4385,NA,6,4.75,4.75,NA,NA,0,0,NA,NA
83,22.9.2014,NA,3,13,6.5,6,6.25,12.5,NA,0.25,NA,NA,NA,NA,NA,11.592,9.0075,NA,0,0,1,10.108,10.485000000000001,NA,7,6.25,NA,NA,NA,1,0,NA,NA
84,23.9.2014,NA,3,14,5.75,4.75,6.5,6,NA,5,NA,NA,NA,NA,NA,11.26,9.861,NA,0,1,0,11.456,10.1325,NA,7,5,6,NA,NA,0,0,NA,NA
85,24.9.2014,NA,3,15,3,3,7.5,6.25,NA,1,NA,NA,NA,NA,NA,11.97,12.554999999999998,NA,0,0,1,10.108,11.113499999999998,NA,6.75,6,4.75,NA,NA,1,0,NA,NA
86,26.9.2014,NA,3,16,5,4,5,1.75,NA,1,NA,NA,NA,NA,NA,10.056,10.7805,NA,0,0,1,12.944,12.5535,NA,6,5,4,NA,NA,0,0,NA,NA
87,27.9.2014,NA,3,17,7.5,5,3,8.75,NA,1,NA,NA,NA,NA,NA,12.882,11.1615,NA,0,0,1,14.314,11.7915,NA,6.25,5,5,NA,0.25,0,0,NA,NA
88,28.9.2014,NA,3,18,5,4.75,7,4.75,NA,4.25,NA,NA,NA,NA,NA,10.61,9.955499999999999,NA,0,1,0,10.44,10.977,NA,6,5.75,7,NA,3,0,0,NA,NA
89,29.9.2014,NA,3,19,6.5,5,7,6,NA,18,NA,NA,NA,NA,NA,8.798,10.122,NA,0,1,0,9.684,11.865,NA,4.75,5,5.75,NA,21,1,0,NA,NA
90,29.9.2014,NA,3,20,6.25,5.75,6,14,NA,0.5,NA,NA,NA,NA,NA,12.088,10.41,NA,0,0,1,12.364,10.4865,NA,6.25,5.5,5.75,NA,6,0,0,NA,NA
91,30.9.2014,NA,3,21,6.75,6,6,6,NA,5,NA,NA,NA,NA,NA,10.244,9.6975,NA,0,1,0,10.584,10.989,NA,6.5,5,5.5,NA,5,1,0,NA,NA
92,1.10.2014,NA,3,22,5.25,4.5,7.75,13,NA,12,NA,NA,NA,NA,NA,11.284,11.616,NA,0,0,1,9.532,12.040499999999998,NA,7,5,7,NA,4,1,0,NA,NA
93,2.10.2014,NA,3,23,7,4.75,4,3.75,NA,3,NA,NA,NA,NA,NA,10.89,9.66,NA,0,1,0,8.324,8.687999999999999,NA,8,5.5,5.5,NA,3,1,0,NA,NA
94,3.10.2014,NA,3,24,3.75,3.75,3,4,NA,3,NA,NA,NA,NA,NA,12.638,10.3035,NA,0,0,1,12.068,12.885,NA,5,4,6,NA,0.5,0,0,NA,NA
95,3.10.2014,NA,3,25,7,6,5.75,13.5,NA,12.5,NA,NA,NA,NA,NA,8.71,11.599499999999999,NA,0,1,0,11.698,14.1765,NA,8.25,5.75,6,NA,1,0,0,NA,NA
96,4.10.2014,NA,3,26,3.25,3,6.75,9.5,NA,3,NA,NA,NA,NA,NA,11.742,12.4815,NA,0,0,1,11.692,12.250499999999999,NA,4.75,4.75,5.75,NA,4,0,0,NA,NA
97,5.10.2014,NA,3,27,4.5,3.75,7,5,NA,1,NA,NA,NA,NA,NA,10.02,10.557,NA,0,0,1,11.028,9.8025,NA,5.25,5.75,6,NA,4,0,0,NA,NA
98,6.10.2014,NA,3,28,6.5,6,3,7,NA,1.5,NA,NA,NA,NA,NA,10.132,12.454500000000001,NA,0,1,0,12.324,14.76,NA,5.75,5.25,5.5,NA,31,0,0,NA,NA
99,7.10.2012,NA,99,NA,4,7,8,8,NA,1,NA,NA,NA,NA,NA,12.482,11.5635,NA,0,0,0,11.372,12.124500000000001,NA,6,5.5,5.5,NA,7,0,0,NA,NA
100,7.10.2012,NA,3,29,7.5,6.25,4,14,NA,1.5,NA,NA,NA,NA,NA,10.326,10.819500000000001,NA,0,1,0,9.412,12.1155,NA,7.25,7,5,NA,13,0,0,NA,NA
101,8.10.2014,NA,3,30,4,4,8,12,NA,2,NA,NA,NA,NA,NA,10.978,10.4865,NA,0,1,0,11.692,11.368500000000001,NA,7,6,6,NA,4,1,0,NA,NA
102,10.10.2014,NA,4,1,6,4.5,5,4,NA,3,NA,NA,NA,NA,NA,11.694,9.7665,NA,0,1,0,10.266,11.2485,NA,6.5,5.5,6,NA,1.5,0,0,NA,NA
103,10.10.2014,NA,4,2,6,4.75,6.25,13.5,NA,1,NA,NA,NA,NA,NA,8.364,11.9595,NA,0,1,0,10.472,10.6155,NA,5.5,5,6.75,NA,5,0,0,NA,NA
104,11.10.2014,NA,4,3,6,7,6,7.5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,5,5,7,NA,3.5,1,0,NA,NA
105,12.10.2014,NA,4,4,4,5.5,4,4,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,3.75,5,7,NA,2,1,0,NA,NA
106,13.10.2010,NA,4,5,5,4.75,5.5,13,NA,0.5,NA,NA,NA,NA,NA,12.38,13.270499999999998,NA,0,0,1,11.216,9.922500000000001,NA,4,5.5,6.5,NA,5,0,0,NA,NA
107,14.10.2014,NA,NA,NA,4,6.25,7,4,NA,1,NA,NA,NA,NA,NA,10.626,11.2365,NA,0,0,0,9.248,10.327499999999999,NA,4,5,7,NA,1,0,0,NA,NA
108,14.10.2014,22:00,4,6,6,6,7,14.5,NA,4,NA,NA,NA,NA,NA,11.948,10.0185,NA,0,0,1,13.442,10.114500000000001,NA,7,6.25,6.5,NA,4,0,0,NA,NA
109,15.10.2014,NA,4,7,4,4.5,7.5,11.75,NA,0.5,NA,NA,NA,NA,NA,16.208,13.6155,at least one,0,1,0,10.7,10.728,NA,6,4.75,6.75,NA,7,0,0,NA,NA
110,16.10.2014,14:30,4,8,4.5,4.75,7.5,7,NA,1,NA,NA,NA,NA,NA,8.986,9.825,NA,0,0,1,11.188,10.6755,NA,7,5.75,6,NA,1,0,0,NA,NA
111,17.10.2014,NA,4,9,6,3,5.5,2,NA,1.5,NA,NA,NA,NA,NA,11.186,11.2785,NA,0,1,0,10.314,11.022,NA,6,5,6,NA,1,0,0,NA,NA
112,18.10.2014,NA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
113,19.10.2014,NA,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
114,20.10.2014,NA,4,12,4,5.75,6.75,6,NA,18,NA,NA,NA,NA,NA,13.216,11.2845,NA,0,1,0,10.106,10.2015,NA,5,5,7,NA,1,1,0,NA,NA
115,21.10.2014,17:25,4,13,4,3.75,6,10,NA,2,NA,NA,NA,NA,NA,11.426,10.729499999999998,NA,0,0,1,13,12.849,NA,4.75,4.5,6.75,NA,7,0,0,NA,NA
116,22.10.2014,21:00,4,14,7,6,4.75,10.5,NA,0.25,NA,NA,NA,NA,NA,10.02,12.3135,NA,0,1,0,NA,NA,NA,6,4.75,6,NA,6,NA,0,NA,NA
117,23.10.2014,NA,4,15,4,5.25,6.5,8.25,NA,4.5,NA,NA,NA,NA,NA,10.848,12.203999999999999,NA,0,1,0,12.056,11.9025,NA,5,6.5,6.5,NA,3,0,0,NA,NA
118,25.10.2014,NA,4,16,6,6.25,6.75,6.5,7,15,NA,NA,NA,NA,NA,11.252,11.9565,NA,0,1,0,10.642,12.450000000000001,NA,5.5,5.75,6.5,NA,24,0,0,NA,NA
119,26.10.2014,NA,4,17,7,6,5.5,3,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,7,6.5,3,NA,1,1,0,NA,NA
120,27.10.2014,NA,4,18,6.25,5,7,8.5,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,6.25,5.75,6,NA,3,1,0,NA,NA
121,28.10.2014,NA,4,19,4,3.5,7.75,4,NA,0.5,NA,NA,NA,NA,NA,11.452,14.236500000000001,NA,0,0,1,11.062,11.7015,NA,5,5.75,6,NA,3,0,0,NA,NA
122,29.10.2014,NA,4,20,4,3.75,4,5.5,NA,2,NA,NA,NA,NA,NA,12.462,12.844500000000002,NA,0,1,0,14.54,14.315999999999999,NA,4,5,6.75,NA,4,0,0,NA,NA
123,30.10.2014,NA,4,21,4.5,5.75,4.75,1.75,NA,12.5,NA,NA,NA,NA,NA,12.786,11.7255,NA,0,1,0,NA,NA,NA,5,5.5,6.25,NA,24,0,0,NA,NA
124,30.10.2014,NA,4,22,6,6.5,6.75,13,NA,4,NA,NA,NA,NA,NA,9.688,10.180499999999999,NA,0,1,0,10.166,9.477,NA,7,5.75,5.75,NA,12,1,0,NA,NA
125,31.10.2014,NA,4,23,7.5,6.25,4.25,1.75,NA,14,NA,NA,NA,NA,NA,10.39,9.800999999999998,NA,0,1,0,10.202,10.3845,NA,8,5.75,5.5,NA,22,0,0,NA,NA
126,1.11.2014,NA,4,24,4.25,4,6.5,7.5,NA,6.5,NA,NA,NA,NA,NA,11.256,10.3845,NA,0,1,0,10.886,11.3895,NA,6,6.75,5.25,NA,5,0,0,NA,NA
